type,mouse,strata,control_cells,injured_cells,injury_difference
4,Lrrc7,2,368,356,1.4750579679869724
4,Calb2,2,368,356,-3.373610475315526
4,Hpcal1,2,368,356,-2.4322799693194996
4,Rxrg,2,368,356,-1.4183171079469314
4,Kcnj5,2,368,356,-2.2186524146284556
4,Alcam,2,368,356,-2.0537962279527617
4,Nfe2l2,2,368,356,0.5645486231993195
4,Ptn,2,368,356,-1.4976923623816405
4,Bcl11b,2,368,356,-2.185560135869829
4,Aldh2,2,368,356,-0.7750939328889044
4,Klc3,2,368,356,-1.027430337334288
4,Crtac1,2,368,356,-2.1822456057857944
4,Neurod1,2,368,356,0.0
4,Dpysl4,2,368,356,-0.46460743362371426
4,Gnai1,2,368,356,-1.3324027682379969
4,Chrnb2,2,368,356,-1.3739744461316645
4,Dlgap1,2,368,356,0.17153578395735058
4,Dtx3l,2,368,356,0.39593668879568983
4,Lpar1,2,368,356,0.2090404041129918
4,Pdlim5,2,368,356,0.26411668806831806
4,Etl4,2,368,356,0.8045373184382159
4,Fgf18,2,368,356,-0.5585799922992878
4,Man1a2,2,368,356,1.571952965021128
4,Igfbp5,2,368,356,1.0715810686359388
4,Il1rapl2,2,368,356,0.5163739641590894
4,Irx1,2,368,356,-0.28015792007960477
4,Slc16a2,2,368,356,0.0
4,Ostf1,2,368,356,-0.377824903171609
4,Ksr1,2,368,356,0.33446203823114407
4,Slc7a8,2,368,356,-0.07639336118207529
4,Kcnc4,2,368,356,-2.570058185265949
4,Tmem200a,2,368,356,-0.6337304631648958
4,Srpx2,2,368,356,0.7113168841910804
4,Tgfbr3,2,368,356,0.6662275970023276
4,Slc44a5,2,368,356,0.7965318842386943
4,Sdk1,2,368,356,1.6856107441616788
4,Cav2,2,368,356,0.030252611629434156
4,Tmem144,2,368,356,2.9213054144356825
4,Rbms3,2,368,356,0.10562176415380908
4,Hfe,2,368,356,1.4030639516290093
4,Brinp1,2,368,356,-1.6094565217036085
4,Vegfc,2,368,356,0.0
4,Itga7,2,368,356,-0.4200835004939938
4,Shroom3,2,368,356,-0.6086186787365562
4,Ddx60,2,368,356,2.5723868836811103
4,Kbtbd11,2,368,356,-3.6273156087482903
5,Opn4,2,383,320,1.591548877890589
5,Rasgrp1,2,383,320,0.27097904855783195
5,Prkcq,2,383,320,1.5065858422858578
